id,url,version_oficial,cilindrada_cc,cilindrada,power_hp,torque_nm,carroceria,categoria,traccion_spec,transmision_spec,tipo_caja,combustible_spec,puertas,asientos,cilindros,autonomia_km,peso_kg
CL-AD-14244530,https://www.chileautos.cl/vehiculos/detalles/2019-chevrolet-silverado-5-3-high-country-4wd-cc-dob-cab-at-4p/CL-AD-14244530,5.3 HIGH COUNTRY 4WD CC DOB. CAB. AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,764.0,2477.0
GI-AD-875271,https://www.chileautos.cl/vehiculos/detalles/chevrolet-tracker-1-2t-ltz-r-4x2-at-5p-2025/GI-AD-875271,,,,,,,,,,,,,,,,
CP-AD-8533650,https://www.chileautos.cl/vehiculos/detalles/2023-toyota-rav4-2-0-le-4x2-cvt-at-5p/CP-AD-8533650,2.0 LE 4X2 CVT AT 5P,1987.0,2.0,170.0,203.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,5.0,4.0,825.0,1480.0
CL-AD-20351632,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-2-4-katana-crt-diesel-special-pack-dob-cab-4x4-mt-4p/CL-AD-20351632,2.4 KATANA CRT DIESEL SPECIAL PACK DOB. CAB. 4X4 MT 4P,2442.0,2.4,152.0,380.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Manual,Mecánico,Diesel,4.0,5.0,4.0,787.0,1840.0
CL-AD-20316549,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-5-3-lt-r-trail-boss-z71-4x4-at-4p/CL-AD-20316549,5.3 LT R TRAIL BOSS Z71 4X4 AT 4P,5300.0,5.3,355.0,518.0,"Pick-up, 4 puertas, 5 asientos",Pick-up,4X4,Automática,Automática,Bencina,4.0,5.0,8.0,728.0,3130.0
GI-AD-879842,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-5-3-lt-trailboss-z71-4x4-at-4p-2022/GI-AD-879842,,,,,,,,,,,,,,,,
CP-AD-8539277,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-2008-1-5-allure-pack-bluehdi-130hp-diesel-4x2-eat8-5p/CP-AD-8539277,1.5 ALLURE PACK BLUEHDI 130HP DIESEL 4X2 EAT8 5P,1499.0,1.5,130.0,300.0,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Diesel,5.0,5.0,4.0,1196.0,1270.0
CP-AD-8530022,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-x-trail-2-5-advance-4x2-cvt-at-5p/CP-AD-8530022,2.5 ADVANCE 4X2 CVT AT 5P,2500.0,2.5,169.0,233.0,"SUV, 5 puertas, 7 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5.0,7.0,4.0,744.0,2140.0
CP-AD-8539782,https://www.chileautos.cl/vehiculos/detalles/2019-chevrolet-silverado-5-3-ltz-4wd-cc-z71-dob-cab-at-4p/CP-AD-8539782,,,,,,,,,,,,,,,,
GI-AD-884880,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-2024-6-2-zr2-at-4x4/GI-AD-884880,,,,,,,,,,,,,,,,
CP-AD-8540013,https://www.chileautos.cl/vehiculos/detalles/2020-ford-ranger-2-5-xlt-4x2-dob-cab-mt-4p/CP-AD-8540013,,,,,,,,,,,,,,,,
GI-AD-871712,https://www.chileautos.cl/vehiculos/detalles/peugeot-3008-2017-active/GI-AD-871712,,,,,,,,,,,,,,,,
CP-AD-8523947,https://www.chileautos.cl/vehiculos/detalles/2022-chevrolet-silverado-5-3-lt-trailboss-z71-4x4-at-4p/CP-AD-8523947,,,,,,,,,,,,,,,,
CP-AD-8535469,https://www.chileautos.cl/vehiculos/detalles/2026-nissan-x-trail-2-5-advance-4x2-3row-cvt-at-5p/CP-AD-8535469,,,,,,,,,,,,,,,,
CP-AD-8507474,https://www.chileautos.cl/vehiculos/detalles/2014-ford-explorer-3-5-limited-4x4-at-5p/CP-AD-8507474,,,,,,,,,,,,,,,,
CL-AD-20025126,https://www.chileautos.cl/vehiculos/detalles/2018-chevrolet-tracker-1-8-lt-ml-fwd-e5-mt-5p/CL-AD-20025126,,,,,,,,,,,,,,,,
CL-AD-20084385,https://www.chileautos.cl/vehiculos/detalles/2021-mitsubishi-l200-2-4-katana-cr-diesel-special-pack-dob-cab-4x2-mt-4p/CL-AD-20084385,,,,,,,,,,,,,,,,
CP-AD-8540113,https://www.chileautos.cl/vehiculos/detalles/2025-ford-ranger-3-0t-raptor-4x4-dob-cab-at-4p/CP-AD-8540113,,,,,,,,,,,,,,,,
CL-AD-20082545,https://www.chileautos.cl/vehiculos/detalles/2021-peugeot-3008-1-6-gt-puretech-4x2-180-eat8-5p/CL-AD-20082545,,,,,,,,,,,,,,,,
GI-AD-854917,https://www.chileautos.cl/vehiculos/detalles/chevrolet-silverado-cc-dcab-4x4-5-3-aut-2020/GI-AD-854917,,,,,,,,,,,,,,,,
CP-AD-8517786,https://www.chileautos.cl/vehiculos/detalles/2026-ford-ranger-3-0t-raptor-4x4-dob-cab-at-4p/CP-AD-8517786,,,,,,,,,,,,,,,,
GI-AD-892629,https://www.chileautos.cl/vehiculos/detalles/nissan-x-trail-2020-2-5-sense-4x2-3row-cvt-at-5p/GI-AD-892629,,,,,,,,,,,,,,,,
CP-AD-8517800,https://www.chileautos.cl/vehiculos/detalles/2026-ford-f-150-5-0-lariat-black-cc-4x4-dob-cab-at-4p/CP-AD-8517800,,,,,,,,,,,,,,,,
CP-AD-8537351,https://www.chileautos.cl/vehiculos/detalles/2019-ford-explorer-2-3-limited-ecoboost-4x4-at-5p/CP-AD-8537351,,,,,,,,,,,,,,,,
CP-AD-8539930,https://www.chileautos.cl/vehiculos/detalles/2021-chevrolet-tracker-1-2t-ltz-fwd-at-5p/CP-AD-8539930,,,,,,,,,,,,,,,,
CP-AD-8535947,https://www.chileautos.cl/vehiculos/detalles/2024-ford-ranger-3-0-ltd-diesel-4x4-dob-cab-at-4p/CP-AD-8535947,,,,,,,,,,,,,,,,
CP-AD-8536796,https://www.chileautos.cl/vehiculos/detalles/2016-ford-explorer-2-0-limited-4wd-at-5p/CP-AD-8536796,,,,,,,,,,,,,,,,
CP-AD-8529702,https://www.chileautos.cl/vehiculos/detalles/2020-ford-f-150-xlt/CP-AD-8529702,,,,,,,,,,,,,,,,
CP-AD-8524125,https://www.chileautos.cl/vehiculos/detalles/2015-ford-explorer-3-5-limited-4x4-at-5p/CP-AD-8524125,,,,,,,,,,,,,,,,
CP-AD-8532728,https://www.chileautos.cl/vehiculos/detalles/2024-chevrolet-silverado-3-0-high-country-4x4-at-4p/CP-AD-8532728,,,,,,,,,,,,,,,,
CP-AD-8490996,https://www.chileautos.cl/vehiculos/detalles/2026-chevrolet-silverado-zr2-at-4wd/CP-AD-8490996,,,,,,,,,,,,,,,,
CL-AD-19638918,https://www.chileautos.cl/vehiculos/detalles/2017-ford-f-150-5-0-xlt-cc-dob-cab-4x4-at-4p/CL-AD-19638918,,,,,,,,,,,,,,,,
CP-AD-8507120,https://www.chileautos.cl/vehiculos/detalles/2024-peugeot-2008-1-5-allure-pack-bluehdi-130-diesel-4x2-at-5p/CP-AD-8507120,,,,,,,,,,,,,,,,
CL-AD-19975730,https://www.chileautos.cl/vehiculos/detalles/2015-chevrolet-silverado-5-3-ltz-4wd-cc-z71-at-4p/CL-AD-19975730,,,,,,,,,,,,,,,,
CL-AD-20632717,https://www.chileautos.cl/vehiculos/detalles/2017-nissan-x-trail-2-5-sense-4x2-2f-cvt-at-5p/CL-AD-20632717,2.5 SENSE 4X2 2F CVT AT 5P,2500,2.5,169,233,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática Cvt,Bencina,5,5,4,744,1910
CL-AD-20624436,https://www.chileautos.cl/vehiculos/detalles/2011-kia-sorento-2-4-ex-4wd-7pas-at-5p/CL-AD-20624436,2.4 EX 4WD 7PAS AT 5P,2349,2.4,172,226,"SUV, 5 puertas, 7 asientos",SUV,4X4,Automática,Automática,Bencina,5,7,4,798,1780
CL-AD-20624334,https://www.chileautos.cl/vehiculos/detalles/2015-suzuki-swift-1-2-ga-4x2-ac-mt-5p/CL-AD-20624334,1.2 GA 4X2 AC MT 5P,1197,1.2,85,114,"Hatchback, 5 puertas, 5 asientos",Hatchback,4X2,Manual,Mecánico,Bencina,5,5,4,739,1415
CL-AD-20609954,https://www.chileautos.cl/vehiculos/detalles/2022-chevrolet-n400-max-1-5-4x2-ac-mt-5p/CL-AD-20609954,1.5 4X2 AC MT 5P,1500,1.5,103,147,"Furgón, 5 puertas, 2 asientos",Furgón,4X2,Manual,Mecánico,Bencina,5,2,4,626,1920
CL-AD-20607794,https://www.chileautos.cl/vehiculos/detalles/2016-jeep-cherokee-2-4-sport-4x2-at-5p/CL-AD-20607794,2.4 SPORT 4X2 AT 5P,2360,2.4,184,232,"SUV, 5 puertas, 5 asientos",SUV,4X2,Automática,Automática,Bencina,5,5,4,720,1738
